movie_info,quote,star,title
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...1994 / 美国 / 犯罪剧情,希望让人自由。,9.6,肖申克的救赎
导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...1993 / 中国大陆香港 / 剧情爱情同性,风华绝代。,9.5,霸王别姬
导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...1994 / 法国 / 剧情动作犯罪,怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise1994 / 美国 / 剧情爱情,一部美国近现代史。,9.4,阿甘正传
导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...1997 / 意大利 / 剧情喜剧爱情战争,最美的谎言。,9.5,美丽人生
导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...2001 / 日本 / 剧情动画奇幻,最好的宫崎骏，最好的久石让。 ,9.2,千与千寻
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...1993 / 美国 / 剧情历史战争,拯救一个人，就是拯救整个世界。,9.4,辛德勒的名单
导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...1997 / 美国 / 剧情爱情灾难,失去的才是永恒的。 ,9.2,泰坦尼克号
导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...2010 / 美国英国 / 剧情动作科幻悬疑冒险,诺兰给了我们一场无法盗取的梦。,9.2,盗梦空间
导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...2008 / 美国 / 喜剧爱情科幻动画冒险,小瓦力，大人生。,9.3,机器人总动员
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...1998 / 意大利 / 剧情音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,海上钢琴师
导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...2009 / 印度 / 剧情喜剧爱情歌舞,英俊版憨豆，高情商版谢耳朵。,9.1,三傻大闹宝莱坞
导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...2009 / 美国英国 / 剧情,永远都不能忘记你所爱的人。,9.2,忠犬八公的故事
导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...2004 / 法国瑞士德国 / 剧情音乐,天籁一般的童声，是最接近上帝的存在。 ,9.2,放牛班的春天
